[CLS]	O	O
Re	O	O
##tina	O	O
##l	O	O
signal	O	O
transmission	O	O
depends	O	O
on	O	O
the	O	O
activity	O	O
of	O	O
high	O	O
voltage	O	O
-	O	O
gate	O	O
##d	O	O
l	O	O
-	O	O
type	O	O
calcium	O	O
channels	O	O
in	O	O
photo	O	O
##re	O	O
##ceptor	O	O
ribbon	O	O
s	O	O
##yna	O	O
##pse	O	O
##s	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
Fifteen	O	O
different	O	O
mutations	O	O
of	O	O
the	O	O
al	O	O
##do	O	O
##lase	O	O
B	O	O
(	O	O
AL	O	O
##D	O	O
##O	O	O
##B	O	O
)	O	O
gene	O	O
were	O	O
identified	O	O
in	O	O
H	O	O
##FI	O	O
patients	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
R	O	O
##ES	O	O
##U	O	O
##LT	O	O
##S	O	O
:	O	O
We	O	O
observed	O	O
2	O	O
distinct	O	O
regions	O	O
of	O	O
frequent	O	O
all	O	O
##eli	O	O
##c	O	O
del	O	O
##eti	O	O
##ons	O	O
on	O	O
Ch	O	O
##rom	O	O
##oso	O	O
##me	O	O
5	O	O
,	O	O
at	O	O
D	O	O
##5	O	O
##S	O	O
##41	O	O
##6	O	O
on	O	O
5	O	O
##p	O	O
##15	O	O
and	O	O
D	O	O
##5	O	O
##S	O	O
##42	O	O
##8	O	O
-	O	O
D	O	O
##5	O	O
##S	O	O
##41	O	O
##0	O	O
on	O	O
5	O	O
##q	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
Ho	O	O
##mo	O	O
##zy	O	O
##go	O	O
##us	O	O
loss	O	O
of	O	O
AD	O	O
##AM	O	O
##3	O	O
##A	O	O
revealed	O	O
by	O	O
genome	O	O
-	O	O
wide	O	O
analysis	O	O
of	O	O
p	O	O
##ediatric	O	O
high	O	O
-	O	O
grade	O	O
g	O	O
##lio	O	O
##ma	O	O
and	O	O
di	O	O
##ff	O	O
##use	O	O
intrinsic	O	O
p	O	O
##ont	O	O
##ine	O	O
g	O	O
##lio	O	O
##mas	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
In	O	O
v	O	O
##it	O	O
##ro	O	O
expression	O	O
of	O	O
beta	O	O
-	O	O
th	O	O
##ala	O	O
##ssa	O	O
##emia	O	O
gene	O	O
IV	B-DNAMutation	B-DNAMutation
##S	I-DNAMutation	I-DNAMutation
##1	I-DNAMutation	I-DNAMutation
-	I-DNAMutation	I-DNAMutation
1	I-DNAMutation	I-DNAMutation
##G	I-DNAMutation	I-DNAMutation
>	I-DNAMutation	I-DNAMutation
C	I-DNAMutation	I-DNAMutation
reveals	O	O
complete	O	O
in	O	O
##act	O	O
##ivation	O	O
of	O	O
the	O	O
normal	O	O
5	O	O
'	O	O
s	O	O
##p	O	O
##lice	O	O
site	O	O
and	O	O
alternative	O	O
a	O	O
##ber	O	O
##rant	O	O
RNA	O	O
s	O	O
##p	O	O
##licing	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
Collective	O	O
##ly	O	O
,	O	O
our	O	O
present	O	O
findings	O	O
suggest	O	O
that	O	O
T	O	O
##SL	O	O
##C	O	O
##1	O	O
acts	O	O
as	O	O
a	O	O
candidate	O	O
tumor	O	O
suppress	O	O
##or	O	O
gene	O	O
for	O	O
ne	O	O
##uro	O	O
##blast	O	O
##oma	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
The	O	O
complete	O	O
conversion	O	O
of	O	O
C	O	O
to	O	O
T	O	O
was	O	O
observed	O	O
in	O	O
the	O	O
expanded	O	O
tracts	O	O
,	O	O
indicating	O	O
that	O	O
no	O	O
met	O	O
##hyl	O	O
##ation	O	O
occurred	O	O
at	O	O
the	O	O
C	O	O
##p	O	O
##G	O	O
sites	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
The	O	O
car	O	O
##cin	O	O
##oma	O	O
presented	O	O
not	O	O
as	O	O
fully	O	O
developed	O	O
me	O	O
##du	O	O
##llar	O	O
car	O	O
##cin	O	O
##oma	O	O
(	O	O
M	O	O
##TC	O	O
)	O	O
but	O	O
as	O	O
micro	O	O
##fo	O	O
##lli	O	O
##cular	O	O
car	O	O
##cin	O	O
##oma	O	O
with	O	O
tendency	O	O
to	O	O
evolve	O	O
into	O	O
M	O	O
##TC	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
There	O	O
was	O	O
good	O	O
correlation	O	O
between	O	O
clinical	O	O
stage	O	O
of	O	O
disease	O	O
and	O	O
ER	O	O
##G	O	O
changes	O	O
,	O	O
but	O	O
age	O	O
did	O	O
not	O	O
co	O	O
##rrel	O	O
##ate	O	O
with	O	O
disease	O	O
severity	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
BA	O	O
##C	O	O
##K	O	O
##GR	O	O
##O	O	O
##UN	O	O
##D	O	O
:	O	O
The	O	O
presence	O	O
of	O	O
the	O	O
T	O	O
##MP	O	O
##RS	O	O
##S	O	O
##2	O	O
-	O	O
ER	O	O
##G	O	O
fusion	O	O
gene	O	O
in	O	O
pro	O	O
##state	O	O
tumors	O	O
has	O	O
recently	O	O
been	O	O
associated	O	O
with	O	O
an	O	O
aggressive	O	O
p	O	O
##hen	O	O
##otype	O	O
,	O	O
as	O	O
well	O	O
as	O	O
re	O	O
##cu	O	O
##rrence	O	O
and	O	O
death	O	O
from	O	O
pro	O	O
##state	O	O
cancer	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
zero	O	O
%	O	O
for	O	O
A	O	O
/	O	O
A	O	O
,	O	O
A	O	O
/	O	O
C	O	O
and	O	O
C	O	O
/	O	O
C	O	O
)	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
BA	O	O
##C	O	O
##K	O	O
##GR	O	O
##O	O	O
##UN	O	O
##D	O	O
AND	O	O
O	O	O
##B	O	O
##J	O	O
##EC	O	O
##TI	O	O
##VE	O	O
##S	O	O
:	O	O
The	O	O
low	O	O
prevalence	O	O
of	O	O
the	O	O
C	B-ProteinMutation	B-ProteinMutation
##28	I-ProteinMutation	I-ProteinMutation
##2	I-ProteinMutation	I-ProteinMutation
##Y	I-ProteinMutation	I-ProteinMutation
mutation	O	O
of	O	O
the	O	O
H	O	O
##F	O	O
##E	O	O
gene	O	O
in	O	O
Japan	O	O
means	O	O
that	O	O
the	O	O
genetic	O	O
background	O	O
of	O	O
hem	O	O
##och	O	O
##roma	O	O
##tosis	O	O
in	O	O
Japanese	O	O
patients	O	O
remains	O	O
unclear	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
PP	O	O
##RO	O	O
##M	O	O
occurred	O	O
in	O	O
8	O	O
of	O	O
14	O	O
(	O	O
57	O	O
.	O	O
1	O	O
%	O	O
)	O	O
pre	O	O
##gna	O	O
##ncies	O	O
in	O	O
which	O	O
mother	O	O
and	O	O
all	O	O
neon	O	O
##ates	O	O
were	O	O
T	O	O
##NF	O	O
##RS	O	O
##F	O	O
##6	O	O
*	O	O
G	O	O
ho	O	O
##mo	O	O
##zy	O	O
##got	O	O
##es	O	O
as	O	O
opposed	O	O
to	O	O
25	O	O
of	O	O
105	O	O
(	O	O
23	O	O
.	O	O
8	O	O
%	O	O
)	O	O
cases	O	O
in	O	O
which	O	O
uniform	O	O
T	O	O
##NF	O	O
##RS	O	O
##F	O	O
##6	O	O
*	O	O
G	O	O
ho	O	O
##mo	O	O
##zy	O	O
##gos	O	O
##ity	O	O
was	O	O
not	O	O
observed	O	O
(	O	O
P	O	O
=	O	O
.	O	O
02	O	O
)	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
No	O	O
significant	O	O
correlation	O	O
between	O	O
HP	O	O
##V	O	O
status	O	O
and	O	O
M	O	O
##MP	O	O
-	O	O
1	O	O
g	O	O
##eno	O	O
##type	O	O
was	O	O
identified	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
In	O	O
this	O	O
study	O	O
,	O	O
we	O	O
report	O	O
a	O	O
case	O	O
of	O	O
R	O	O
##DE	O	O
##B	O	O
with	O	O
a	O	O
very	O	O
mild	O	O
clinical	O	O
p	O	O
##hen	O	O
##otype	O	O
,	O	O
who	O	O
was	O	O
a	O	O
compound	O	O
he	O	O
##tero	O	O
##zy	O	O
##got	O	O
##e	O	O
harbour	O	O
##ing	O	O
both	O	O
a	O	O
re	O	O
##current	O	O
Japanese	O	O
mutation	O	O
and	O	O
a	O	O
novel	O	O
del	O	O
##eti	O	O
##on	O	O
mutation	O	O
resulting	O	O
in	O	O
a	O	O
more	O	O
upstream	O	O
PT	O	O
##C	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
U	O	O
##rine	O	O
collected	O	O
was	O	O
anal	O	O
##ys	O	O
##ed	O	O
for	O	O
ho	O	O
##mo	O	O
##gent	O	O
##isi	O	O
##c	O	O
acid	O	O
by	O	O
gas	O	O
ch	O	O
##roma	O	O
##tography	O	O
-	O	O
mass	O	O
s	O	O
##pect	O	O
##rome	O	O
##try	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
Red	O	O
blood	O	O
cell	O	O
in	O	O
##dices	O	O
and	O	O
hem	O	O
##og	O	O
##lo	O	O
##bin	O	O
analysis	O	O
were	O	O
carried	O	O
out	O	O
according	O	O
to	O	O
standard	O	O
methods	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
The	O	O
distinctive	O	O
radio	O	O
##graphic	O	O
features	O	O
,	O	O
in	O	O
spite	O	O
of	O	O
similarity	O	O
to	O	O
SE	O	O
##DC	O	O
-	O	O
S	O	O
##W	O	O
,	O	O
indicate	O	O
different	O	O
spinal	O	O
and	O	O
,	O	O
notably	O	O
,	O	O
severe	O	O
meta	O	O
##phy	O	O
##sea	O	O
##l	O	O
involvement	O	O
.	O	O
[SEP]	O	O

[CLS]	O	O
These	O	O
repeats	O	O
,	O	O
also	O	O
known	O	O
as	O	O
"	O	O
SMS	O	O
-	O	O
R	O	O
##EP	O	O
##s	O	O
,	O	O
"	O	O
are	O	O
termed	O	O
"	O	O
di	O	O
##stal	O	O
,	O	O
"	O	O
"	O	O
middle	O	O
,	O	O
"	O	O
and	O	O
"	O	O
pro	O	O
##ximal	O	O
.	O	O
"	O	O
The	O	O
directly	O	O
oriented	O	O
di	O	O
##stal	O	O
and	O	O
pro	O	O
##ximal	O	O
copies	O	O
act	O	O
as	O	O
substrates	O	O
for	O	O
non	O	O
